City,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Country
Ilulissat,32.02,69,40,4.61,69.2167,-51.1,GL
Flinders,68.45,50,0,7.0,-34.5833,150.8552,AU
Vestmannaeyjar,44.65,88,71,25.99,63.4427,-20.2734,IS
Severo-Kuril'sk,37.9,98,100,14.38,50.6789,156.125,RU
Dunedin,51.91,38,98,6.82,-45.8742,170.5036,NZ
Mackay,77.68,66,39,12.17,-21.15,149.2,AU
Saint-Joseph,67.35,82,19,8.16,-21.3667,55.6167,RE
Asău,55.76,100,4,4.88,46.4333,26.4,RO
Masallātah,61.84,92,49,9.22,32.6167,14.0,LY
Nago,87.17,79,100,5.86,26.5881,127.9761,JP
Upernavik,31.57,88,63,14.03,72.7868,-56.1549,GL
Ancud,54.93,94,100,13.76,-41.8697,-73.8203,CL
Iqaluit,27.7,86,99,15.01,63.7506,-68.5145,CA
Vitória de Santo Antão,77.13,93,70,4.45,-8.1181,-35.2914,BR
Nianzishan,61.66,32,81,8.72,47.5167,122.8833,CN
Kailua,81.0,69,9,9.01,21.4022,-157.7394,US
Itaituba,78.35,79,98,1.61,-4.2761,-55.9836,BR
Mareeba,71.28,86,96,4.94,-17.0,145.4333,AU
Lumeje,54.25,58,10,5.73,-11.55,20.7833,AO
Ambilobe,66.34,90,5,3.04,-13.2,49.05,MG
Port Hedland,75.25,31,100,19.57,-20.3167,118.5667,AU
Kumba,71.98,98,97,0.83,4.6363,9.4469,CM
Pochutla,80.82,78,91,4.38,15.7432,-96.4661,MX
Lagoa,63.55,91,100,19.66,39.05,-27.9833,PT
Inhambane,62.76,82,7,3.6,-23.865,35.3833,MZ
Mattoon,76.78,61,40,4.61,39.4831,-88.3728,US
Araouane,94.98,20,100,9.64,18.9048,-3.5265,ML
Yangi Marg`ilon,72.3,37,84,2.3,40.4272,71.7189,UZ
Nikita,44.73,83,18,6.15,44.5333,34.2333,UA
Tabou,79.66,85,100,4.59,4.423,-7.3528,CI
Ola,40.24,76,100,4.59,59.5833,151.2833,RU
Fayaoué,73.2,54,12,4.52,-20.65,166.5333,NC
Salalah,80.69,78,20,2.3,17.0151,54.0924,OM
Port Alfred,62.28,89,45,11.68,-33.5906,26.891,ZA
Vila Franca do Campo,64.81,88,100,10.27,37.7167,-25.4333,PT
Yalvaç,59.11,46,3,3.98,38.2956,31.1778,TR
City of San Pedro,90.39,61,75,4.36,14.35,121.0167,PH
São Joaquim,38.35,80,0,2.13,-28.2939,-49.9317,BR
Cabatuan,86.38,66,95,6.11,10.8794,122.486,PH
Moussoro,79.57,12,13,2.21,13.6408,16.4901,TD
Gayéri,90.21,38,62,9.57,12.6497,0.4931,BF
Kaduna,77.2,68,20,6.02,10.5222,7.4383,NG
Alofi,75.09,88,75,13.8,-19.0595,-169.9187,NU
Nanortalik,33.87,76,90,11.23,60.1432,-45.2371,GL
Tevaitoa,80.83,71,26,9.86,-16.7833,-151.5,PF
Beïnamar,83.77,44,98,4.27,8.6698,15.3813,TD
Aklavik,41.83,69,100,5.84,68.2191,-135.0107,CA
Prince George,50.45,95,90,6.91,53.9166,-122.753,CA
Lubumbashi,47.46,86,5,3.11,-11.6609,27.4794,CD
Chilca,64.02,84,53,2.33,-12.5211,-76.7372,PE
Port Hardy,50.0,77,100,8.81,50.6996,-127.4199,CA
Gbarnga,73.38,100,96,1.79,6.9956,-9.4722,LR
Jacareacanga,77.61,77,60,1.95,-6.2222,-57.7528,BR
College,65.35,27,1,1.01,64.8569,-147.8028,US
Porbandar,85.98,79,40,10.36,21.6422,69.6093,IN
Mwinilunga,49.82,74,97,3.31,-11.7358,24.4293,ZM
Palu,89.33,60,92,2.01,-0.8917,119.8707,ID
Otradnoye,45.95,88,91,7.45,59.7775,30.8181,RU
Abu Dhabi,91.42,27,0,11.39,24.4667,54.3667,AE
Kruisfontein,56.73,91,89,5.06,-34.0033,24.7314,ZA
Barrow,26.62,86,90,5.75,71.2906,-156.7887,US
Hasaki,73.72,62,100,10.31,35.7333,140.8333,JP
Vila Velha,70.95,83,90,1.01,-20.3297,-40.2925,BR
Pandan,85.46,70,39,4.27,14.0453,124.1694,PH
Bolobo,72.28,79,63,0.89,-2.1667,16.2333,CD
East London,63.64,88,54,10.71,-33.0153,27.9116,ZA
Samarai,80.11,67,99,17.38,-10.6167,150.6667,PG
Sur,90.57,41,0,8.57,22.5667,59.5289,OM
Santa Rosa,90.66,61,41,3.2,14.3122,121.1114,PH
Te Anau,52.36,59,62,2.66,-45.4167,167.7167,NZ
Matagami,66.31,82,40,8.77,49.7502,-77.6328,CA
Hong Kong,87.39,79,19,1.01,22.2855,114.1577,HK
Chokurdakh,39.02,79,99,8.1,70.6333,147.9167,RU
Neiafu,72.28,94,90,2.3,-18.65,-173.9833,TO
Bandarbeyla,79.77,72,100,19.15,9.4942,50.8122,SO
Disna,55.04,93,100,13.04,55.568,28.1971,BY
Elizabeth City,72.43,90,1,1.01,36.2946,-76.2511,US
Saint George,85.57,10,1,1.01,37.1041,-113.5841,US
Broken Hill,58.5,47,3,15.05,-31.95,141.4333,AU
Tiksi,35.91,88,8,2.82,71.6872,128.8694,RU
Smolenka,53.67,50,47,5.37,52.1352,113.4974,RU
Pisco,64.45,94,90,2.3,-13.7,-76.2167,PE
Vanderhoof,52.88,85,76,5.73,54.0166,-124.0198,CA
Baturaja,83.93,74,21,2.46,-4.1333,104.1667,ID
Khatanga,31.91,100,100,5.88,71.9667,102.5,RU
Isangel,78.91,61,20,11.7,-19.55,169.2667,VU
San Rafael,54.86,46,6,8.01,-34.6177,-68.3301,AR
Igarka,30.85,69,7,18.16,67.4667,86.5833,RU
Meghraj,83.77,63,93,15.82,23.5,73.5,IN
Ahipara,59.5,66,81,9.42,-35.1667,173.1667,NZ
Guérande,54.86,87,100,22.79,47.3291,-2.4283,FR
Kumul,80.91,12,0,7.85,42.8,93.45,CN
Benguela,75.06,60,2,4.65,-12.5763,13.4055,AO
Kahului,82.9,71,40,17.27,20.8947,-156.47,US
Nara,68.97,33,100,5.21,34.6851,135.8049,JP
Dongsheng,58.62,35,100,24.2,39.8161,109.9776,CN
Santa Luzia,70.14,73,0,4.76,-19.7697,-43.8514,BR
Itaberaí,69.84,60,56,7.38,-16.0203,-49.8103,BR
Husavik,37.31,80,20,12.37,66.0449,-17.3389,IS
Sobolevo,54.54,79,99,8.12,54.4299,31.8996,RU
Sioux Lookout,57.27,77,90,12.66,50.1001,-91.917,CA
Lavrentiya,38.95,82,52,9.95,65.5833,-171.0,RU
Champerico,79.99,72,96,8.72,14.3,-91.9167,GT
Villa Carlos Paz,37.13,75,0,1.99,-31.4241,-64.4978,AR
Vostok,56.73,36,19,11.86,46.4856,135.8833,RU
Chernyshevskiy,54.73,45,53,7.36,63.0128,112.4714,RU
Elban,43.95,79,100,4.18,50.1018,136.5094,RU
Eydhafushi,83.95,74,97,24.2,5.1033,73.0708,MV
Peterhead,47.3,91,100,16.91,57.5058,-1.7981,GB
Pangnirtung,18.07,94,97,5.53,66.1451,-65.7125,CA
Mońki,46.67,96,100,6.08,53.405,22.7979,PL
Gambēla,70.21,94,42,3.36,8.25,34.5833,ET
Nelson Bay,71.49,58,10,3.0,-32.7167,152.15,AU
Flagstaff,64.85,14,1,1.99,35.1981,-111.6513,US
Shenjiamen,68.49,93,98,18.84,29.9576,122.298,CN
Fengcheng,63.54,51,99,17.2,40.4536,124.0717,CN
Creel,60.93,23,2,12.24,27.75,-107.6333,MX
Parkes,62.35,56,0,3.0,-33.1333,148.1833,AU
Kichera,46.92,63,100,6.26,55.9375,110.0997,RU
Cornwall,76.89,61,1,12.57,45.0181,-74.7281,CA
Egvekinot,40.01,71,99,10.2,66.3167,-179.1667,RU
Holzminden,47.77,85,62,7.9,51.828,9.4455,DE
Bull Savanna,76.53,85,67,5.39,17.8868,-77.5902,JM
Codrington,54.93,61,85,18.07,-38.2667,141.9667,AU
Avera,77.63,50,100,7.27,33.194,-82.5271,US
Praia da Vitória,66.45,94,75,13.56,38.7333,-27.0667,PT
Virginia Beach,70.25,90,20,6.91,36.8529,-75.978,US
Mvuma,43.12,69,0,4.23,-19.2792,30.5283,ZW
Mariehamn,51.66,76,100,10.36,60.0973,19.9348,AX
Moosomin,38.95,78,100,15.14,50.1333,-101.6677,CA
Rome,72.84,64,1,0.0,43.2128,-75.4557,US
Arona,60.37,61,75,5.01,28.0996,-16.681,ES
Saint-François,47.37,81,0,4.61,46.4154,3.9054,FR
Batagay-Alyta,56.7,35,21,4.38,67.8006,130.4114,RU
Ust-Nera,53.62,31,47,7.83,64.5667,143.2,RU
Havre-St-Pierre,43.16,100,75,8.05,50.2334,-63.5986,CA
Kawalu,81.84,69,27,3.47,-7.3817,108.2082,ID
Pueblo Nuevo,60.44,44,0,2.8,23.3833,-105.3833,MX
Buala,82.17,79,99,12.53,-8.145,159.5921,SB
Cairns,74.21,78,90,8.05,-16.9167,145.7667,AU
Kosh-Agach,58.46,50,44,6.69,50.0,88.6667,RU
Christchurch,52.23,77,16,5.01,-43.5333,172.6333,NZ
Coyhaique,33.75,100,90,4.61,-45.5752,-72.0662,CL
Urusha,51.13,59,100,1.36,54.05,122.9,RU
Slonim,48.72,94,100,16.69,53.0867,25.3219,BY
Kiunga,80.78,76,86,4.92,-6.1219,141.2906,PG
Bambous Virieux,68.25,94,40,8.5,-20.3428,57.7575,MU
Liepāja,49.98,87,90,12.66,56.5419,21.0367,LV
Ust-Kuyga,59.88,33,0,22.44,70.0167,135.6,RU
Nokia,50.14,73,0,1.99,61.4667,23.5,FI
Mitú,71.58,100,100,1.21,1.1983,-70.1733,CO
Torbay,43.32,88,90,20.71,47.6666,-52.7314,CA
Santa Fe,55.22,75,0,3.78,-31.6333,-60.7,AR
Namatanai,79.5,87,100,5.14,-3.6667,152.4333,PG
Nellikkuppam,81.66,72,100,13.35,11.7667,79.6833,IN
Tabuk,90.86,52,3,5.64,17.4189,121.4443,PH
Paamiut,35.51,70,81,8.21,61.994,-49.6678,GL
Cehegín,57.69,82,80,2.13,38.0924,-1.7985,ES
Aksu,76.1,13,100,0.63,41.1231,80.2644,CN
Tiznit Province,60.66,82,100,1.68,29.5833,-9.5,MA
Forestville,68.31,85,1,5.75,38.8451,-76.875,US
Brigantine,61.68,89,1,14.63,39.4101,-74.3646,US
Mabaruma,74.64,93,99,2.44,8.2,-59.7833,GY
Harper,79.65,86,100,4.72,4.375,-7.7169,LR
Ponta Delgada,65.12,94,40,10.36,37.7333,-25.6667,PT
Sibolga,84.38,71,80,1.14,1.7427,98.7792,ID
Arrondissement de Montbrison,42.93,92,47,3.4,45.6667,4.0833,FR
Magway,83.44,67,90,14.72,20.15,94.9167,MM
Hirara,88.07,70,20,14.97,24.8,125.2833,JP
Vao,71.38,65,0,15.88,-22.6667,167.4833,NC
Nemuro,68.43,87,70,5.21,43.3236,145.575,JP
Lae,78.53,88,100,2.48,-6.7221,146.9847,PG
Karaton,84.34,67,85,6.51,-6.3424,106.1045,ID
Huilong,70.99,87,100,15.23,31.8111,121.655,CN
Faya,63.12,40,20,4.34,18.3851,42.4509,SA
Yong Peng,82.15,87,77,2.37,2.0136,103.0659,MY
Parabel',50.5,52,62,9.26,58.6978,81.4825,RU
Bridlington,45.9,92,50,13.09,54.0831,-0.1919,GB
Kashan,71.49,47,0,3.74,33.9831,51.4364,IR
Portland,58.46,79,90,1.01,45.5234,-122.6762,US
Grootfontein,40.57,87,0,0.0,-19.5667,18.1167,NA
Lebu,53.65,90,100,4.92,-37.6167,-73.65,CL
Laas,42.26,67,17,2.04,46.6166,10.7002,IT
Wajir,72.19,78,48,12.17,1.7471,40.0573,KE
Camden,65.41,81,73,1.01,39.7835,-74.9663,US
Novopetrovskoye,50.92,77,90,3.4,55.9928,36.4719,RU
Lázaro Cárdenas,79.57,68,5,7.23,17.9583,-102.2,MX
Panama City,80.83,86,100,1.01,8.9936,-79.5197,PA
Kashihara-shi,68.7,37,0,3.33,34.509,135.7929,JP
Itapuranga,77.2,52,90,4.83,-15.5622,-49.9486,BR
Muriwai Beach,59.59,56,36,10.22,-36.8167,174.45,NZ
Saint Anthony,74.57,34,1,4.0,45.0205,-93.218,US
San Vicente,48.15,69,0,2.77,-26.6167,-54.1333,AR
San Quintín,64.53,74,35,8.41,30.4833,-115.95,MX
Muros,54.55,72,86,11.99,42.7762,-9.0603,ES
Fortuna,56.59,69,40,5.99,40.5982,-124.1573,US
Khorixas,62.64,39,0,9.57,-20.3667,14.9667,NA
At-Bashi,58.1,41,100,1.16,41.1702,75.8106,KG
Westport,61.72,84,1,1.99,41.1415,-73.3579,US
Pitimbu,75.79,83,21,11.03,-7.4706,-34.8086,BR
Myrtle Beach,74.1,81,1,9.22,33.6891,-78.8867,US
Tessalit,91.0,7,53,8.5,20.1986,1.0114,ML
Chetwayi,75.27,83,100,4.16,10.5333,76.05,IN
Montesilvano,61.95,80,75,4.61,42.5039,14.138,IT
Luoyang,83.5,34,50,15.26,34.6836,112.4536,CN
Bud,76.32,89,82,7.18,39.447,-86.1758,US
Barra de Tecoanapa,83.86,60,99,5.68,16.5167,-98.75,MX
Nālūt,71.98,52,1,13.13,30.3333,10.85,LY
Gamba,77.09,94,74,5.12,-2.65,10.0,GA
Koppal,77.31,76,76,18.84,15.35,76.15,IN
Saint Joseph,72.25,85,1,8.05,39.7686,-94.8466,US
Ibrā’,82.72,42,0,1.1,22.6906,58.5334,OM
Tezpur,81.5,77,96,6.82,26.6333,92.8,IN
San Jose,64.62,53,20,1.01,37.3394,-121.895,US
Strezhevoy,49.98,45,79,8.93,60.7333,77.5889,RU
Klyuchi,80.04,30,5,3.2,52.2667,79.1667,RU
Maués,77.43,88,92,1.99,-3.3836,-57.7186,BR
Bouna,76.03,78,79,5.88,9.2667,-3.0,CI
Tiruchchendur,80.89,82,100,23.04,8.4833,78.1167,IN
Bosaso,87.1,56,24,4.9,11.2842,49.1816,SO
Semnan,72.7,41,3,7.85,35.5729,53.3971,IR
Sudogda,50.54,76,70,1.28,55.9539,40.8629,RU
Tsiroanomandidy,55.0,77,0,2.75,-18.7667,46.0333,MG
Andenes,40.98,70,8,26.46,69.3143,16.1194,NO
Mount Isa,80.37,34,9,9.22,-20.7333,139.5,AU
Solano,70.81,44,1,12.88,38.2333,-121.9511,US
Ivoti,50.49,81,0,3.15,-29.5911,-51.1606,BR
Port Moresby,87.22,45,40,11.5,-9.4431,147.1797,PG
Pilot Butte,42.08,78,90,10.69,50.4668,-104.4178,CA
Safi,62.44,84,55,8.03,32.2994,-9.2372,MA
Japura,82.56,79,100,2.71,-0.3167,102.35,ID
Tsalenjikha,57.42,95,79,1.61,42.6044,42.0682,GE
Kenai,57.34,46,1,11.5,60.5544,-151.2583,US
Ottawa,74.55,69,75,9.73,45.4112,-75.6981,CA
Souillac,68.38,94,40,7.9,-20.5167,57.5167,MU
Brønnøysund,42.8,93,60,4.61,65.4625,12.1997,NO
Quatre Cocos,70.09,77,8,8.41,-20.2078,57.7625,MU
Ipixuna,78.75,89,20,3.11,-1.7625,-48.8043,BR
Morondava,66.24,87,1,6.85,-20.2833,44.2833,MG
Hambantota,81.86,78,100,20.2,6.1241,81.1185,LK
Ryūō,70.02,38,100,3.51,35.65,138.5,JP
Brae,48.11,90,100,16.28,60.3964,-1.353,GB
Talara,69.06,89,19,9.24,-4.5772,-81.2719,PE
Powell,75.42,55,1,7.38,40.1578,-83.0752,US
Fort Nelson,51.39,28,75,8.05,58.8053,-122.7002,CA
Pleven,60.75,88,20,6.91,43.4167,24.6167,BG
Havøysund,37.35,72,85,4.59,70.9963,24.6622,NO
Nouadhibou,66.18,82,0,19.57,20.931,-17.0347,MR
Quimper,52.59,100,90,14.97,48.0,-4.1,FR
Bulungu,68.18,64,33,3.2,-4.55,18.6,CD
Terre Haute,72.45,83,1,5.75,39.4667,-87.4139,US
Sabang,83.28,77,100,10.56,5.8933,95.3214,ID
Ürümqi,81.55,16,0,3.91,43.801,87.6005,CN
Chicama,64.94,82,39,5.12,-7.8447,-79.1469,PE
Ankazoabo,58.95,70,0,2.21,-22.2833,44.5167,MG
Leh,42.04,51,89,1.28,34.1667,77.5833,IN
Upington,52.18,54,0,2.3,-28.4478,21.2561,ZA
Yatou,69.44,62,54,29.3,37.15,122.3833,CN
Margate,45.59,78,99,1.99,51.3813,1.3862,GB
Ostrovnoy,34.68,73,11,7.07,68.0531,39.5131,RU
Helong,65.3,33,100,11.03,42.5397,128.9972,CN
Atambua,83.44,55,9,3.09,-9.1061,124.8925,ID
Berkåk,42.42,85,100,4.92,62.825,10.0118,NO
Mehamn,36.45,75,85,8.32,71.0357,27.8492,NO
Sulangan,83.05,74,100,2.44,11.1373,123.7228,PH
Novomikhaylovskiy,56.23,90,0,4.16,44.2581,38.8578,RU
Kirovskiy,64.51,38,16,9.8,45.0917,133.5136,RU
Itarema,76.77,82,87,9.95,-2.9248,-39.9167,BR
Ixtapa,79.83,83,1,5.75,20.7,-105.2,MX
Laredo,88.12,62,20,14.97,27.5064,-99.5075,US
Ndélé,77.38,59,96,4.92,8.4109,20.6473,CF
Kongolo,65.25,66,100,3.71,-5.3833,27.0,CD
Nouakchott,73.33,61,1,19.1,18.0858,-15.9785,MR
Comodoro Rivadavia,40.86,60,0,2.3,-45.8667,-67.5,AR
Desaguadero,44.44,66,100,5.95,-16.5656,-69.0417,PE
Abilene,79.12,72,75,1.01,32.4487,-99.7331,US
Lucapa,58.15,57,6,4.38,-8.4192,20.7447,AO
